Year,Team,W,L,Pts,Opp,MOV,SOS,OSRS,DSRS,SRS
2017,Ohio,20,11,77.0,69.9,7.13,-2.56,1.95,1.95,3.9
2017,San Francisco,20,13,71.6,67.3,4.24,0.42,-0.34,4.14,3.8
2017,Rutgers,15,18,65.5,67.1,-1.58,6.22,-3.6,7.29,3.69
2017,Akron,27,9,77.0,70.8,6.17,-1.21,2.14,1.45,3.59
2017,Cal St. Bakersfield,25,10,71.5,63.9,7.63,-1.94,-4.42,7.64,3.21
2017,New Mexico,17,14,73.6,72.7,0.97,2.07,2.31,0.72,3.04
2017,George Mason,20,14,74.1,71.7,2.41,1.28,3.51,-0.5,3.01
2017,Missouri,8,24,69.2,72.9,-3.75,6.73,-0.91,3.89,2.98
2017,Utah St.,14,17,72.3,70.8,1.48,2.46,0.24,2.66,2.9
2017,Missouri St.,17,16,72.8,69.0,3.82,1.18,1.8,1.04,2.84
2017,Wyoming,23,15,77.9,74.6,3.37,0.55,5.79,-2.96,2.83
2017,Santa Clara,17,16,66.8,65.4,1.39,2.03,-3.56,6.24,2.69
2017,Tulsa,15,17,67.4,70.3,-2.84,5.29,0.21,2.24,2.45
2017,George Washington,20,15,69.9,69.7,0.26,2.11,-0.89,3.25,2.37
2017,Harvard,18,10,71.9,65.8,6.07,-2.24,-0.96,3.25,2.3
2017,Florida Gulf Coast,26,8,79.4,69.3,10.15,-3.42,0.31,1.95,2.26
2017,Boston College,9,23,72.5,78.4,-5.88,8.08,2.95,-0.75,2.2
2017,Washington,9,22,76.4,81.1,-4.68,6.82,6.26,-4.11,2.15
2017,DePaul,9,23,68.9,74.6,-5.69,7.78,-0.09,2.18,2.09
2017,Old Dominion,19,12,64.5,61.2,3.29,-1.35,-10.47,12.4,1.94
2017,La Salle,15,15,75.5,76.6,-1.03,2.94,5.67,-3.76,1.91
2017,Towson,20,13,74.2,69.2,4.91,-1.28,0.17,1.67,1.84
2017,Massachusetts,15,18,71.8,71.9,-0.03,1.66,0.73,0.9,1.63
2017,Saint Peter's,23,13,66.0,60.8,5.19,-3.6,-9.99,11.59,1.6
2017,Lehigh,20,12,76.0,70.7,5.34,-3.3,3.32,-1.78,1.54
2017,Furman,23,12,74.0,66.3,7.74,-3.75,-2.12,3.57,1.46
2017,Evansville,16,17,69.3,68.5,0.82,2.42,-1.54,2.99,1.45
2017,Winthrop,26,7,79.2,70.4,8.88,-6.12,4.5,-3.16,1.34
2017,Northern Iowa,14,16,61.8,64.4,-2.57,5.22,-8.89,10.18,1.29
2017,Toledo,17,17,78.7,75.5,3.18,-0.9,3.13,-1.97,1.16
2017,Chattanooga,19,12,74.6,68.8,5.87,-2.08,-2.58,3.67,1.1
2017,Southern Illinois,17,16,68.5,69.4,-0.88,2.65,-1.8,2.89,1.09
2017,Iona,22,13,80.4,76.8,3.54,-2.47,5.95,-4.87,1.08
2017,Buffalo,17,15,77.7,74.2,3.47,-1.01,2.43,-1.5,0.92
2017,Kent St.,22,14,77.0,73.0,4.0,-1.63,1.29,-0.4,0.88
2017,Arkansas St.,20,12,73.3,69.1,4.22,-2.1,-0.95,1.81,0.87
2017,UNC Asheville,23,10,77.1,68.5,8.58,-5.61,1.62,-0.78,0.84
2017,LSU,10,21,74.8,83.0,-8.16,8.69,7.23,-6.7,0.53
2017,Rice,23,12,81.5,75.7,5.8,-4.16,7.04,-6.53,0.51
2017,Purdue Fort Wayne,20,13,86.9,78.8,8.09,-3.19,6.99,-6.62,0.38
2017,Elon,18,14,75.1,71.6,3.47,-1.39,0.23,0.02,0.24
2017,Yale,18,11,74.2,69.9,4.24,-2.19,0.46,-0.26,0.21
2017,Marshall,20,15,85.6,84.0,1.66,-1.05,14.66,-14.48,0.18
2017,UC Irvine,21,15,69.8,64.8,5.08,-2.7,-4.11,4.29,0.18
2017,Saint Joseph's,11,20,69.5,73.1,-3.55,3.69,-0.84,0.97,0.14
2017,Washington St.,13,18,70.3,76.6,-6.35,6.87,-0.39,0.52,0.13
2017,UNC Greensboro,25,10,75.1,69.3,5.83,-2.63,-1.53,1.43,-0.1
2017,William & Mary,17,14,81.7,77.8,3.97,-0.73,7.01,-7.15,-0.14
2017,Albany,21,14,71.3,65.7,5.57,-4.69,-3.34,3.18,-0.16
2017,Grand Canyon,22,9,73.6,67.8,5.77,-4.22,-2.08,1.93,-0.16
2017,Northern Kentucky,24,11,76.0,71.6,4.34,-2.84,-0.49,0.32,-0.17
2017,Eastern Michigan,16,17,77.8,73.0,4.76,0.16,0.36,-0.54,-0.18
2017,Georgia St.,20,13,74.0,70.1,3.94,-2.17,-1.41,1.08,-0.33
2017,South Dakota,22,12,77.6,73.9,3.71,-2.08,0.81,-1.23,-0.42
2017,Loyola Marymount,15,15,70.4,70.8,-0.4,1.6,-2.4,1.93,-0.47
2017,Troy,22,15,78.1,72.1,6.0,-3.36,1.96,-2.43,-0.47
2017,East Carolina,15,18,63.3,65.1,-1.82,1.33,-7.08,6.59,-0.49
2017,Louisiana,21,12,81.9,76.3,5.64,-3.28,7.42,-8.06,-0.64
2017,Penn,13,15,68.9,68.0,0.86,-1.5,-3.48,2.83,-0.65
2017,Wofford,16,17,78.6,75.1,3.45,-1.08,2.84,-3.55,-0.71
2017,Northeastern,15,16,72.1,71.9,0.13,-0.91,-0.83,0.05,-0.78
2017,Western Michigan,16,16,75.5,75.3,0.28,-0.55,0.43,-1.2,-0.78
2017,Indiana St.,11,20,70.0,72.7,-2.74,3.18,-0.3,-0.72,-1.02
2017,Wright St.,20,12,77.0,72.4,4.63,-2.42,1.06,-2.07,-1.02
2017,Mercer,15,17,70.9,68.3,2.66,-0.92,-4.7,3.58,-1.12
2017,UAB,17,16,71.8,70.2,1.61,-1.83,-2.43,1.26,-1.17
2017,Utah Valley,17,17,76.9,72.9,4.0,-2.44,2.26,-3.48,-1.22
2017,North Dakota St.,19,11,74.8,71.5,3.27,-2.63,-2.06,0.75,-1.31
2017,Ball St.,21,13,78.7,75.5,3.24,-3.57,2.78,-4.24,-1.45
2017,Lipscomb,20,13,85.0,77.6,7.33,-4.45,7.43,-8.98,-1.55
2017,Tennessee St.,17,13,71.1,67.7,3.4,-2.96,-4.94,3.38,-1.57
2017,North Dakota,22,10,80.6,73.7,6.91,-5.45,2.19,-4.02,-1.83
2017,Samford,20,16,78.7,75.9,2.81,-3.7,3.6,-5.47,-1.87
2017,Fordham,13,19,65.3,67.7,-2.41,1.36,-8.1,6.13,-1.97
2017,Siena,17,17,75.0,74.7,0.24,-2.23,0.12,-2.12,-2.0
2017,Texas St.,22,14,66.9,62.7,4.19,-4.29,-8.95,6.72,-2.23
2017,Nebraska Omaha,18,14,83.9,83.5,0.38,-1.11,7.66,-9.9,-2.24
2017,South Dakota St.,18,17,76.7,77.1,-0.4,-0.66,1.91,-4.2,-2.3
2017,Weber St.,20,14,79.8,73.7,6.15,-5.13,0.31,-2.63,-2.32
2017,Hofstra,15,17,77.3,76.7,0.59,-1.9,3.42,-5.77,-2.35
2017,Boston University,18,14,73.1,70.8,2.34,-3.66,-0.16,-2.28,-2.43
2017,Montana,16,16,74.7,73.4,1.34,-4.02,-1.77,-0.9,-2.67
2017,Eastern Washington,22,12,79.3,76.2,3.03,-4.43,3.02,-5.79,-2.77
2017,Green Bay,18,14,80.2,77.5,2.69,-2.83,3.29,-6.06,-2.77
2017,Canisius,18,16,78.4,77.7,0.68,-3.5,3.42,-6.24,-2.82
2017,Bradley,13,20,65.5,70.7,-5.15,2.94,-5.29,2.45,-2.84
2017,San Jose St.,14,16,73.2,74.8,-1.67,1.74,-0.75,-2.08,-2.84
2017,Jacksonville St.,20,15,69.5,67.9,1.6,-3.24,-5.6,2.75,-2.85
2017,Texas A&M Corpus Chris,24,12,75.4,71.5,3.92,-5.79,-1.84,-1.13,-2.97
2017,Denver,16,14,75.8,74.6,1.2,-4.19,-0.65,-2.34,-2.99
2017,Air Force,12,21,73.1,75.1,-2.0,1.0,-0.8,-2.26,-3.06
2017,Duquesne,10,22,70.5,74.3,-3.75,0.69,-0.54,-2.53,-3.06
2017,Murray St.,16,17,80.0,77.1,2.91,-4.41,2.87,-5.93,-3.06
2017,Gardner Webb,19,14,77.2,70.3,6.88,-5.71,0.82,-3.9,-3.08
2017,UTEP,15,17,69.3,68.8,0.47,-2.51,-5.11,1.98,-3.13
2017,North Carolina Central,25,9,74.8,63.5,11.26,-12.12,-5.59,2.41,-3.18
2017,Northern Illinois,15,17,72.2,70.7,1.53,-2.05,-5.24,1.95,-3.29
2017,New Hampshire,20,12,71.2,66.2,4.97,-4.46,-5.41,1.85,-3.57
2017,Morehead St.,14,16,79.0,77.0,1.97,-1.85,1.43,-5.03,-3.6
2017,Georgia Southern,18,15,75.5,73.3,2.18,-2.83,-0.81,-2.82,-3.63
2017,UNLV,11,21,68.8,75.2,-6.34,2.59,-2.76,-0.99,-3.75
2017,UMBC,21,13,81.1,77.2,3.97,-5.87,5.61,-9.45,-3.84
2017,Coastal Carolina,20,19,72.6,73.3,-0.64,-1.48,-2.15,-1.78,-3.94
2017,Tulane,6,25,70.3,78.5,-8.23,4.25,1.71,-5.69,-3.98
2017,New Orleans,20,12,72.8,69.2,3.63,-5.34,-5.53,1.43,-4.1
2017,Navy,16,16,64.9,64.2,0.66,-3.92,-8.45,4.34,-4.11
2017,IUPUI,14,18,78.1,78.7,-0.53,-1.62,1.97,-6.26,-4.29
2017,Mount St. Mary's,20,16,67.9,68.7,-0.78,-3.51,-6.3,2.02,-4.29
2017,Pacific,11,22,66.8,71.8,-5.0,2.09,-5.61,1.04,-4.57
2017,Oregon St.,5,27,63.2,72.5,-9.38,5.89,-8.46,3.87,-4.59
2017,Tennessee Martin,22,13,76.9,75.1,1.8,-4.34,-0.12,-4.59,-4.7
2017,Drake,7,24,71.2,77.1,-5.87,1.91,1.02,-5.73,-4.71
2017,Stony Brook,18,14,69.2,68.9,0.34,-5.05,-5.77,1.06,-4.71
2017,Fairfield,16,15,72.6,73.5,-0.9,-3.85,-3.36,-1.39,-4.75
2017,UMKC,18,17,76.9,78.7,-1.77,-1.06,0.24,-5.21,-4.97
2017,UC Davis,23,13,70.1,69.6,0.53,-4.68,-4.89,-0.32,-5.21
2017,Charlotte,13,17,76.5,80.2,-3.73,-0.93,2.94,-8.17,-5.24
2017,Holy Cross,15,17,60.4,62.1,-1.75,-3.51,-13.03,7.77,-5.26
2017,Idaho,19,14,73.1,71.1,2.0,-5.89,-4.28,-1.06,-5.34
2017,Rider,18,15,75.7,75.8,-0.06,-5.28,-0.29,-5.05,-5.34
2017,Eastern Illinois,14,15,74.8,71.8,2.97,-5.05,-2.33,-3.02,-5.35
2017,Liberty,21,14,66.6,63.4,3.17,-6.16,-10.19,4.68,-5.51
2017,Oral Roberts,8,22,75.1,79.9,-4.87,1.24,0.37,-5.87,-5.51
2017,James Madison,10,23,66.5,69.7,-3.18,-1.83,-9.12,3.48,-5.64
2017,Columbia,11,16,71.9,72.7,-0.89,-3.13,-1.74,-3.93,-5.67
2017,Central Michigan,16,16,88.3,87.7,0.59,-2.63,12.21,-17.97,-5.76
2017,San Diego,13,18,65.3,71.3,-5.97,0.92,-7.5,1.72,-5.78
2017,Western Kentucky,15,17,69.0,71.9,-2.91,-2.89,-4.95,-0.85,-5.8
2017,Portland,11,22,67.1,72.2,-5.09,2.32,-5.78,-0.03,-5.81
2017,Army,13,19,72.6,73.1,-0.5,-4.1,-1.03,-4.82,-5.84
2017,Southeast Missouri St.,15,18,74.5,74.7,-0.12,-4.28,-1.93,-3.96,-5.89
2017,Illinois Chicago,17,19,76.4,76.5,-0.14,-3.63,0.9,-6.86,-5.95
2017,Long Beach St.,15,19,75.0,78.4,-3.44,-0.6,1.63,-7.61,-5.98
2017,Bowling Green,13,19,73.6,76.7,-3.06,-2.0,-1.65,-4.35,-6.0
2017,Little Rock,15,17,68.4,68.3,0.09,-3.8,-9.63,3.56,-6.07
2017,Saint Louis,12,21,61.4,69.3,-7.94,1.85,-10.79,4.7,-6.09
2017,Montana St.,16,16,80.0,79.1,0.91,-5.88,1.3,-7.44,-6.14
2017,Hawaii,14,16,68.1,68.3,-0.2,-4.92,-6.35,0.16,-6.19
2017,Loyola MD,16,17,65.9,68.2,-2.24,-3.6,-7.85,1.53,-6.32
2017,Texas Southern,23,12,74.1,72.7,1.4,-7.81,-1.82,-4.6,-6.41
2017,South Alabama,14,18,71.4,72.6,-1.13,-2.9,-3.08,-3.49,-6.57
2017,Cleveland St.,9,22,67.2,71.7,-4.48,-1.53,-8.67,1.95,-6.73
2017,Stephen F. Austin,18,15,69.4,68.8,0.55,-5.75,-8.91,1.9,-7.01
2017,Portland St.,15,16,85.3,81.8,3.55,-6.63,5.16,-12.22,-7.06
2017,Wagner,16,14,68.2,65.8,2.47,-7.89,-8.8,1.67,-7.13
2017,South Florida,7,23,64.8,74.5,-9.67,2.39,-4.81,-2.48,-7.28
2017,Houston Christian,17,14,78.7,77.4,1.39,-4.44,0.28,-7.58,-7.3
2017,Lamar,19,15,77.1,71.6,5.56,-7.93,-2.69,-4.67,-7.36
2017,Southeastern Louisiana,16,16,70.9,68.2,2.69,-8.13,-7.61,0.25,-7.36
2017,Milwaukee,11,24,67.1,71.3,-4.2,-2.17,-8.75,1.38,-7.37
2017,UTSA,14,19,66.0,69.4,-3.42,-3.03,-8.43,1.01,-7.42
2017,Drexel,9,23,74.9,78.4,-3.47,-2.56,0.57,-8.0,-7.43
2017,Cal St. Fullerton,17,15,73.5,71.3,2.22,-6.85,-3.81,-3.74,-7.55
2017,Sam Houston St.,21,13,74.3,71.3,3.0,-6.35,-5.03,-2.52,-7.55
2017,Tennessee Tech,12,20,72.4,73.1,-0.72,-4.17,-4.21,-3.38,-7.6
2017,USC Upstate,17,16,78.0,76.7,1.36,-5.23,-0.86,-6.78,-7.64
2017,North Florida,15,19,77.6,78.6,-1.09,-1.65,-2.11,-5.67,-7.78
2017,LIU,20,12,71.2,69.3,1.88,-8.51,-5.41,-2.39,-7.8
2017,Louisiana Monroe,9,24,66.6,69.7,-3.06,-2.56,-7.53,-0.34,-7.88
2017,Florida Atlantic,10,20,70.3,74.0,-3.77,-1.98,-3.87,-4.08,-7.95
2017,FIU,7,24,70.3,73.6,-3.35,-3.27,-4.35,-3.75,-8.1
2017,St. Francis PA,17,17,75.8,74.5,1.29,-7.65,-1.02,-7.11,-8.13
2017,Miami OH,11,21,70.3,74.5,-4.22,-2.1,-5.98,-2.18,-8.16
2017,Cal St. Northridge,11,19,78.0,81.3,-3.3,-4.13,3.41,-11.75,-8.34
2017,Niagara,10,23,74.2,78.2,-3.97,-4.37,-2.22,-6.13,-8.34
2017,Seattle,13,17,69.7,71.4,-1.67,-3.95,-6.91,-1.45,-8.36
2017,Cornell,8,21,71.5,77.2,-5.66,-1.55,-3.02,-5.38,-8.4
2017,Kennesaw St.,14,18,75.0,76.8,-1.72,-5.97,-2.53,-5.91,-8.44
2017,Colgate,10,22,67.0,71.0,-4.0,-3.6,-7.48,-0.99,-8.47
2017,Brown,13,17,75.8,77.9,-2.1,-4.08,1.57,-10.12,-8.55
2017,Robert Morris,14,19,64.4,67.8,-3.42,-5.13,-10.11,1.56,-8.56
2017,Eastern Kentucky,12,19,70.9,75.2,-4.29,-2.44,-4.9,-3.75,-8.65
2017,Appalachian St.,9,21,73.6,76.0,-2.37,-1.6,-2.24,-6.43,-8.67
2017,High Point,15,16,68.8,68.9,-0.1,-6.28,-6.73,-2.34,-9.06
2017,Northern Colorado,11,18,71.6,74.7,-3.17,-4.2,-6.41,-2.86,-9.27
2017,Fairleigh Dickinson,11,19,72.8,75.0,-2.23,-5.31,-1.65,-7.63,-9.28
2017,Manhattan,10,22,70.6,77.7,-7.06,-2.61,-4.65,-5.03,-9.67
2017,Campbell,19,18,71.7,70.4,1.3,-7.59,-7.4,-2.28,-9.68
2017,Bryant,12,20,74.2,77.4,-3.28,-5.43,-0.46,-9.24,-9.69
2017,Youngstown St.,13,21,76.9,82.4,-5.44,-2.56,1.92,-11.67,-9.75
2017,Quinnipiac,10,21,76.7,83.3,-6.65,-3.22,2.0,-11.86,-9.86
2017,Delaware,13,20,65.4,72.2,-6.79,-1.42,-9.77,-0.2,-9.97
2017,Pepperdine,9,22,69.0,80.3,-11.29,1.87,-2.88,-7.11,-10.0
2017,NJIT,11,20,72.7,74.8,-2.16,-4.22,-6.06,-4.05,-10.12
2017,UMass Lowell,11,20,78.4,81.2,-2.84,-6.4,2.9,-13.03,-10.13
2017,Jacksonville,17,16,77.5,75.1,2.42,-8.45,-4.11,-6.1,-10.21
2017,American,8,22,61.5,68.3,-6.8,-3.5,-11.49,1.19,-10.3
2017,Sacramento St.,13,18,71.1,74.3,-3.19,-5.58,-6.56,-4.12,-10.69
2017,Cal Poly,11,20,67.2,72.3,-5.16,-4.22,-7.03,-3.67,-10.71
2017,Detroit Mercy,8,23,77.0,84.8,-7.84,-1.62,2.23,-12.95,-10.72
2017,Sacred Heart,13,19,72.7,76.1,-3.44,-7.52,-2.23,-8.72,-10.95
2017,Austin Peay,11,19,77.7,83.8,-6.13,-2.32,1.62,-12.62,-11.0
2017,Western Illinois,8,20,71.9,76.8,-4.96,-2.38,-5.09,-5.91,-11.0
2017,North Texas,8,22,69.2,75.3,-6.1,-3.32,-4.96,-6.18,-11.14
2017,Dartmouth,7,20,67.1,74.8,-7.7,-3.45,-6.12,-5.03,-11.15
2017,Radford,14,18,65.3,70.2,-4.91,-4.58,-11.23,-0.12,-11.34
2017,UC Riverside,8,21,65.3,69.5,-4.17,-3.87,-10.47,-0.92,-11.39
2017,UT Rio Grande Valley,10,22,78.3,83.3,-5.0,-3.68,2.53,-13.97,-11.44
2017,Abilene Christian,13,16,69.3,71.5,-2.21,-7.1,-9.0,-2.86,-11.86
2017,Binghamton,12,20,68.0,70.9,-2.97,-5.79,-10.21,-1.78,-11.99
2017,Northwestern St.,13,16,76.0,79.3,-3.34,-6.07,-1.47,-10.57,-12.03
2017,Norfolk St.,17,17,69.8,71.5,-1.65,-8.57,-8.26,-3.82,-12.07
2017,Incarnate Word,12,17,76.3,80.0,-3.72,-5.62,-0.6,-11.55,-12.14
2017,SIU Edwardsville,6,24,68.1,76.1,-7.93,-3.29,-6.85,-5.4,-12.25
2017,Charleston Southern,12,19,74.3,75.6,-1.26,-6.21,-2.91,-9.37,-12.28
2017,Alcorn St.,18,14,69.4,68.0,1.44,-10.95,-9.32,-3.0,-12.33
2017,Marist,8,24,69.5,79.1,-9.59,-2.74,-5.32,-7.01,-12.33
2017,The Citadel,12,21,89.8,94.6,-4.76,-2.93,11.6,-24.46,-12.86
2017,Central Arkansas,8,24,74.8,84.1,-9.28,-3.76,0.6,-13.64,-13.04
2017,Hampton,14,17,69.3,71.6,-2.26,-9.92,-9.67,-3.56,-13.23
2017,Southern Miss,9,22,63.0,72.2,-9.26,-2.78,-12.1,-1.3,-13.4
2017,UC Santa Barbara,6,22,60.8,71.0,-10.21,-2.0,-13.33,-0.16,-13.49
2017,Maryland Eastern Shore,14,20,71.3,76.0,-4.68,-7.61,-5.28,-8.49,-13.77
2017,VMI,6,24,68.6,78.2,-9.63,-1.8,-6.11,-7.8,-13.91
2017,Northern Arizona,9,23,69.3,76.1,-6.84,-5.95,-7.81,-6.1,-13.92
2017,Stetson,11,21,77.2,82.9,-5.72,-5.45,-0.78,-13.43,-14.21
2017,McNeese St.,7,22,70.4,79.0,-8.59,-4.12,-6.45,-7.83,-14.28
2017,Southern,15,18,71.5,72.8,-1.24,-11.68,-6.22,-8.26,-14.48
2017,Prairie View A&M,13,20,69.0,73.3,-4.33,-8.48,-7.12,-7.42,-14.54
2017,Nicholls St.,14,17,74.7,79.5,-4.77,-5.23,-3.31,-11.26,-14.57
2017,Lafayette,9,21,66.5,76.1,-9.57,-3.5,-6.63,-8.04,-14.68
2017,Morgan St.,14,16,67.5,70.7,-3.2,-11.2,-11.85,-3.18,-15.03
2017,Idaho St.,5,26,69.8,80.2,-10.39,-3.37,-6.07,-9.04,-15.1
2017,Western Carolina,9,23,61.4,73.3,-11.94,-0.7,-15.01,-0.29,-15.3
2017,Jackson St.,14,18,64.6,66.9,-2.34,-11.55,-13.8,-1.61,-15.42
2017,Southern Utah,6,27,77.5,85.3,-7.73,-5.39,-0.46,-15.13,-15.58
2017,Hartford,9,23,66.8,77.0,-10.28,-5.56,-8.42,-7.43,-15.85
2017,Maine,7,25,64.7,75.0,-10.34,-4.01,-10.77,-5.56,-16.33
2017,Chicago St.,6,26,65.3,78.5,-13.19,-0.19,-10.57,-6.11,-16.67
2017,Howard,10,24,63.6,71.6,-7.94,-7.97,-12.99,-3.97,-16.97
2017,Grambling St.,16,17,71.5,73.1,-1.55,-11.89,-9.37,-7.92,-17.29
2017,Central Connecticut,6,23,63.0,72.8,-9.83,-7.68,-12.65,-4.86,-17.51
2017,South Carolina St.,11,20,69.9,80.2,-10.29,-6.61,-6.83,-11.54,-18.37
2017,Delaware St.,10,22,68.3,75.0,-6.66,-9.37,-11.85,-6.95,-18.81
2017,St. Francis NY,4,27,62.0,73.7,-11.71,-6.54,-14.19,-5.06,-19.24
2017,Bethune Cookman,10,22,71.1,77.8,-6.72,-11.21,-7.91,-11.54,-19.44
2017,Alabama St.,8,23,65.9,74.4,-8.48,-10.75,-11.41,-8.34,-19.75
2017,Mississippi Valley St.,7,25,69.8,83.3,-13.44,-7.11,-5.5,-15.05,-20.54
2017,Florida A&M,7,23,71.8,78.8,-7.07,-11.85,-8.27,-12.62,-20.88
2017,Longwood,6,24,67.3,80.3,-13.0,-6.16,-8.84,-12.39,-21.23
2017,Coppin St.,8,24,66.2,78.8,-12.56,-8.01,-11.46,-10.05,-21.51
2017,Arkansas Pine Bluff,7,25,61.8,72.5,-10.72,-10.28,-17.08,-5.73,-22.81
2017,North Carolina A&T,3,29,64.3,76.1,-11.84,-9.61,-13.05,-10.02,-23.07
2017,Presbyterian,5,25,61.2,74.8,-13.63,-5.95,-17.33,-6.3,-23.63
2017,Alabama A&M,2,27,61.9,77.8,-15.9,-11.09,-15.57,-11.42,-26.99
2018,Villanova,36,4,86.6,70.2,16.4,10.24,17.8,8.84,26.64
2018,Duke,29,8,84.4,69.6,14.73,9.7,16.41,8.02,24.43
2018,Purdue,30,7,80.4,65.7,14.68,8.74,12.91,10.5,23.41
2018,Michigan St.,30,5,80.2,64.9,15.31,7.1,10.72,11.69,22.41
2018,Virginia,31,3,67.1,54.0,13.15,9.05,-1.75,23.95,22.2
2018,Kansas,31,8,81.4,71.9,9.51,11.88,13.58,7.81,21.39
2018,Cincinnati,31,5,74.3,57.5,16.72,3.53,3.05,17.2,20.25
2018,North Carolina,26,11,81.6,73.3,8.3,11.78,15.41,4.66,20.07
2018,West Virginia,26,11,80.1,69.6,10.51,9.38,12.47,7.42,19.89
2018,Texas Tech,27,10,74.6,64.8,9.78,9.6,5.29,14.09,19.38
2018,Xavier,29,6,84.4,74.7,9.63,9.43,15.18,3.88,19.06
2018,Michigan,33,8,73.6,63.3,10.32,9.41,4.22,14.81,19.03
2018,Gonzaga,32,5,83.5,67.7,15.84,2.6,12.4,6.04,18.44
2018,Tennessee,26,9,73.8,65.7,8.09,10.12,5.78,12.42,18.2
2018,Ohio St.,25,9,76.2,67.6,8.65,9.02,7.67,10.0,17.67
2018,Kentucky,26,11,76.8,70.2,6.51,10.73,9.26,7.98,17.24
2018,Clemson,25,10,73.8,65.9,7.91,9.25,4.91,12.25,17.16
2018,Butler,21,14,78.9,72.6,6.37,10.55,9.68,7.24,16.92
2018,Florida,21,13,75.8,69.2,6.59,10.08,8.15,8.52,16.66
2018,Wichita St.,25,8,82.8,71.6,11.12,5.46,12.81,3.77,16.58
2018,TCU,21,12,82.1,75.4,6.7,9.68,13.36,3.02,16.38
2018,Creighton,21,12,83.5,74.1,9.45,8.1,12.82,3.53,16.35
2018,Houston,27,8,76.7,64.9,11.83,4.16,7.34,8.65,15.99
2018,Auburn,26,8,81.9,73.2,8.68,7.29,12.84,3.13,15.97
2018,Penn St.,26,13,74.7,66.7,8.05,7.79,6.18,9.67,15.85
2018,Florida St.,23,12,80.2,72.9,7.29,8.5,12.0,3.78,15.78
2018,Arizona,27,8,80.5,71.7,8.83,6.84,10.25,5.42,15.67
2018,Seton Hall,22,12,79.4,73.9,5.56,10.11,10.68,4.99,15.67
2018,Texas A&M,22,13,75.2,70.5,4.69,10.62,6.36,8.95,15.3
2018,Arkansas,23,12,80.5,75.6,4.91,9.85,11.86,2.91,14.76
2018,Baylor,19,15,75.6,69.7,5.94,9.17,4.84,9.75,14.6
2018,Nevada,29,8,82.6,73.1,9.51,4.93,12.64,1.8,14.44
2018,Arizona St.,20,12,82.7,74.8,7.81,6.55,13.8,0.56,14.37
2018,Virginia Tech,21,12,79.8,72.2,7.64,6.71,10.46,3.89,14.35
2018,Louisville,22,14,75.6,70.4,5.22,9.07,7.92,6.37,14.3
2018,Texas,19,15,72.1,68.8,3.29,10.67,3.68,10.28,13.96
2018,Missouri,20,13,72.7,68.1,4.64,9.19,4.1,9.71,13.81
2018,Oklahoma,18,14,84.9,81.7,3.25,10.56,17.15,-3.34,13.81
2018,Maryland,19,13,73.1,66.9,6.19,7.94,5.37,8.41,13.78
2018,Notre Dame,21,15,74.9,68.6,6.31,7.92,5.61,8.02,13.64
2018,North Carolina St.,21,12,81.3,75.1,6.21,6.7,12.67,0.24,12.91
2018,Syracuse,23,14,66.6,63.8,2.86,10.02,-2.38,15.26,12.89
2018,Saint Mary's,30,6,77.0,64.5,12.53,0.33,5.46,7.4,12.86
2018,Kansas St.,25,12,71.1,67.0,4.11,8.74,1.46,11.38,12.85
2018,Miami FL,22,10,73.8,67.9,5.88,6.96,4.56,8.27,12.83
2018,USC,24,12,77.7,71.2,6.53,6.29,7.62,5.2,12.81
2018,Marquette,21,14,81.3,78.5,2.8,9.7,12.51,-0.01,12.5
2018,Oklahoma St.,21,15,76.6,73.3,3.33,9.12,6.55,5.9,12.45
2018,Alabama,20,16,72.3,70.6,1.69,10.64,4.15,8.19,12.34
2018,San Diego St.,22,11,77.1,67.9,9.24,3.91,4.84,7.39,12.23
2018,UCLA,21,12,81.2,76.0,5.21,6.86,11.87,0.2,12.07
2018,Rhode Island,26,8,76.0,68.8,7.21,4.61,4.97,6.84,11.81
2018,Mississippi St.,25,12,73.4,67.8,5.65,6.82,3.79,7.92,11.71
2018,Utah,23,12,73.5,68.5,5.0,6.39,2.78,8.62,11.39
2018,Boise St.,23,9,78.2,69.1,9.13,3.05,5.21,6.0,11.21
2018,Providence,21,14,73.6,72.7,0.89,10.23,3.47,7.65,11.12
2018,Western Kentucky,27,11,78.4,70.4,8.03,3.64,7.12,3.96,11.08
2018,Davidson,21,12,76.3,67.9,8.45,2.57,5.42,5.61,11.02
2018,Nebraska,22,11,72.3,68.6,3.67,7.33,3.69,7.3,10.99
2018,LSU,18,15,77.5,74.6,2.91,8.02,8.35,2.59,10.93
2018,Oregon,23,13,78.3,72.4,5.86,4.84,5.7,5.0,10.7
2018,Wisconsin,15,18,66.8,66.0,0.88,9.5,-1.36,11.74,10.38
2018,Loyola Chicago,32,6,71.6,62.6,9.05,1.8,0.65,9.72,10.37
2018,Middle Tennessee,25,8,75.1,66.3,8.82,2.83,2.37,7.93,10.29
2018,St. John's,16,17,73.1,72.6,0.45,10.69,4.06,6.23,10.29
2018,Georgia,18,15,68.1,66.7,1.36,8.87,-0.7,10.93,10.24
2018,Indiana,16,15,71.9,70.3,1.65,8.25,2.91,6.98,9.89
2018,Northwestern,15,17,68.8,66.5,2.38,8.37,0.45,9.18,9.63
2018,South Carolina,17,16,70.1,69.0,1.09,9.23,1.74,7.71,9.45
